ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-05-17 16:00:00,102950.1,105666.6,102763.0,105515.9,3977.5912348,413942766.812253669,413942766.812253669,1
2025-05-18 16:00:00,105515.9,107140.1,102080.4,104796.0,11450.59221099,1192284988.850209976,1192284988.850209976,1
2025-05-19 16:00:00,104796.0,106867.0,104180.0,105340.4,7300.57366837,769367934.133482325,769367934.133482325,1
2025-05-20 16:00:00,105341.4,109458.0,105089.6,108972.0,9142.5346699,979980900.472129774,979980900.472129774,1
2025-05-21 16:00:00,108973.9,111880.0,106115.5,111317.8,14401.51589695,1579753733.690174589,1579753733.690174589,1
2025-05-22 16:00:00,111318.0,111963.0,107313.9,108940.6,8957.50714852,986812244.341121267,986812244.341121267,1
2025-05-23 16:00:00,108942.4,109812.2,106800.0,108939.3,6794.23096824,736755265.134861426,736755265.134861426,1
2025-05-24 16:00:00,108939.3,109221.9,106600.0,106973.3,5143.53577791,554469427.449313864,554469427.449313864,1
2025-05-25 16:00:00,106973.3,110411.2,106648.2,110004.9,4656.1319434,508724295.595316897,508724295.595316897,1
2025-05-26 16:00:00,110007.1,110729.0,107505.2,110145.7,7567.31889973,827912597.691165274,827912597.691165274,1
2025-05-27 16:00:00,110146.2,110512.0,107036.0,107113.1,5875.91658275,639583202.667059533,639583202.667059533,1
2025-05-28 16:00:00,107113.2,108897.5,106455.0,107034.0,10372.40190472,1117122282.506419247,1117122282.506419247,1
2025-05-29 16:00:00,107034.0,107180.0,104595.4,105538.8,8608.7930053,910740538.074806473,910740538.074806473,1
2025-05-30 16:00:00,105538.8,105565.4,103078.7,104554.2,5156.20785889,536716739.08399051,536716739.08399051,1
2025-05-31 16:00:00,104554.2,104907.5,103738.3,104711.9,3020.77784262,314847990.029836308,314847990.029836308,1
2025-06-01 16:00:00,104712.0,105945.0,103668.8,104434.0,4233.22352374,443660796.010473463,443660796.010473463,1
2025-06-02 16:00:00,104434.9,106804.0,104031.2,106630.2,5104.15006989,539249364.248960117,539249364.248960117,1
2025-06-03 16:00:00,106630.2,106688.0,104181.4,105302.7,4642.72856035,489876263.606408848,489876263.606408848,1
2025-06-04 16:00:00,105302.7,105914.9,103900.0,104539.6,4009.27148826,420477327.676864276,420477327.676864276,1
2025-06-05 16:00:00,104540.1,105330.8,100400.0,105094.2,11241.28413802,1155829246.420337866,1155829246.420337866,1
2025-06-06 16:00:00,105094.7,105799.0,103876.8,105558.3,4501.0489018,471638751.6637017,471638751.6637017,1
2025-06-07 16:00:00,105558.4,106158.7,104969.6,105975.1,2058.66434771,217427360.390465503,217427360.390465503,1
2025-06-08 16:00:00,105975.0,108034.8,105313.4,107638.1,4556.94942643,486509851.887072974,486509851.887072974,1
2025-06-09 16:00:00,107638.2,110650.0,107638.1,109023.9,6078.48383676,664659959.683510535,664659959.683510535,1
2025-06-10 16:00:00,109024.0,110399.9,108521.7,109743.3,3691.26994931,404776156.183136814,404776156.183136814,1
2025-06-11 16:00:00,109743.3,109825.4,106600.0,107017.6,5353.91457427,578457722.993845048,578457722.993845048,1
2025-06-12 16:00:00,107017.6,108439.0,102640.0,105431.0,12194.08270132,1283737462.321089632,1283737462.321089632,1
2025-06-13 16:00:00,105431.1,106219.2,104614.0,104833.1,2776.8970033,292488407.785831628,292488407.785831628,1
2025-06-14 16:00:00,104833.1,106140.0,104305.7,105568.0,3316.22649943,348849362.905410347,348849362.905410347,1
2025-06-15 16:00:00,105568.0,107787.1,104500.0,107436.0,4431.92662559,471268597.635533767,471268597.635533767,1
2025-06-16 16:00:00,107438.1,108974.7,104138.3,104244.1,7597.72487684,808826535.247314218,808826535.247314218,1
2025-06-17 16:00:00,104244.1,105544.2,103368.1,104796.1,6892.66299197,720253578.729071032,720253578.729071032,1
2025-06-18 16:00:00,104796.0,105225.8,103500.0,104104.1,3251.81705097,339857296.556547154,339857296.556547154,1
2025-06-19 16:00:00,104104.1,106520.0,103882.6,104222.1,4730.61833267,497188991.426656475,497188991.426656475,1
2025-06-20 16:00:00,104224.0,104281.2,102340.7,103566.1,5336.65193128,551933683.467567269,551933683.467567269,1
2025-06-21 16:00:00,103566.1,103657.2,98900.4,98911.3,8965.78373418,908789618.357824837,908789618.357824837,1
2025-06-22 16:00:00,98911.2,102625.0,98188.4,101431.5,8118.37199228,817277431.111402716,817277431.111402716,1
2025-06-23 16:00:00,101431.6,106052.1,99636.6,105238.1,10461.07124142,1091263701.65084675,1091263701.65084675,1
2025-06-24 16:00:00,105241.8,108130.0,105182.8,107034.6,6444.45229018,687757692.601668663,687757692.601668663,1
2025-06-25 16:00:00,107034.5,108290.0,106546.8,107316.0,5218.65020271,560851694.534193302,560851694.534193302,1
2025-06-26 16:00:00,107316.0,108007.0,106377.0,107312.9,4880.70631752,522635785.411278246,522635785.411278246,1
2025-06-27 16:00:00,107313.0,107727.9,106450.0,107451.5,2970.73090483,318421333.627226241,318421333.627226241,1
2025-06-28 16:00:00,107451.6,108539.0,107156.0,107744.1,2395.25345044,258316063.889581088,258316063.889581088,1
2025-06-29 16:00:00,107744.0,108800.0,106736.9,107575.1,3911.76244924,421410836.114029011,421410836.114029011,1
2025-06-30 16:00:00,107575.0,107809.5,105633.3,105961.9,4652.42648114,496675778.969334223,496675778.969334223,1
2025-07-01 16:00:00,105962.0,108770.0,105100.0,108745.3,5073.44867861,543014067.506254583,543014067.506254583,1
2025-07-02 16:00:00,108745.3,110529.0,108526.1,109128.2,6117.27657462,669576862.31263988,669576862.31263988,1
2025-07-03 16:00:00,109128.3,110000.0,107507.3,107592.2,3138.85072767,341466763.84304226,341466763.84304226,1
2025-07-04 16:00:00,107592.1,108432.7,107255.7,108057.9,1685.79522912,181937864.65997326,181937864.65997326,1
2025-07-05 16:00:00,108058.0,109134.4,107804.1,108909.9,1634.49267577,177039963.465341928,177039963.465341928,1
2025-07-06 16:00:00,108910.0,109719.6,107966.0,108301.9,2720.1257411,296093113.034145867,296093113.034145867,1
